year,zipcode,MEDIAN_SALE_PRICE,MEDIAN_LIST_PRICE,MEDIAN_PPSF,AVG_SALE_TO_LIST,HOMES_SOLD,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS,SOLD_ABOVE_LIST,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY
2013,37010,236300.0,266633.3333333333,96.22499771666666,0.9790712043333333,15.666666666666666,30.0,44.333333333333336,,97.5,,0.12429971966666668,0.053238756666666665,
2013,37011,82250.0,93625.0,59.37911388,0.91622894075,3.0,4.5,9.0,,49.75,,0.02777777775,0.017977708499999998,
2013,37013,113518.75,118078.57142857143,73.46900558875,0.9517993655,129.5,195.85714285714286,163.625,,61.9375,,0.1922802445,-0.05562167014285714,
2013,37014,435000.0,426587.5,133.0206215,0.9926642720000001,22.0,38.0,33.5,,124.5,,0.3664596275,0.09118863099999999,
2013,37015,116506.25,137500.0,73.51054359,0.948841864875,40.75,70.0,75.625,,120.1875,,0.096911221125,-0.000692229500000001,
2013,37016,145000.0,119900.0,46.47435897,0.853443202,1.0,5.5,7.0,,207.0,,0.0,0.0,
2013,37022,101775.0,129900.0,71.756609385,0.9397326834999999,19.0,24.5,32.0,,124.5,,0.0714285715,0.202601301,
2013,37026,79528.57142857143,153521.42857142858,60.39015619999999,0.9048200764285715,5.0,8.285714285714286,11.285714285714286,,119.35714285714286,,0.075,0.06564347083333333,
2013,37027,210608.0,212460.5,130.67338995,0.98789678875,8.5,9.75,8.25,,42.25,,0.1903846155,-0.012077811666666667,
2013,37029,191000.0,189900.0,73.17478378,0.966389638,16.0,41.0,56.0,,56.5,,0.125,,
2013,37030,80000.0,81950.0,58.33333333,0.915919051,11.0,4.0,3.0,,195.0,,0.0,,
2013,37031,134900.0,184900.0,87.40377887,0.9854577,25.0,31.0,39.0,,92.0,,0.2,-0.091582492,
2013,37032,148725.0,172450.0,76.135452965,0.961435017,13.0,13.0,22.5,,121.75,,0.19642857149999998,0.0440920695,
2013,37035,150000.0,114900.0,93.50091968,0.954104888,13.0,9.0,21.0,,137.0,,0.076923077,0.0,
2013,37036,100156.5,121733.16666666667,73.72077385666667,0.9598575776666666,11.0,17.0,25.666666666666668,,85.83333333333333,,0.22222222233333333,0.037841026666666666,
2013,37037,139480.0,147520.0,92.907708674,0.9794834758000001,45.2,56.2,63.4,,73.2,,0.1685188218,-0.01106157575,
2013,37046,436583.3333333333,534933.3333333334,133.27989263333333,0.9400664163333333,16.0,17.666666666666668,33.0,,120.66666666666667,,0.13055555566666666,0.020684910333333337,
2013,37048,165000.0,214900.0,83.38189439,0.954718886,22.0,32.0,39.0,,86.5,,0.045833333500000004,-0.0655608215,
2013,37049,136000.0,140000.0,88.389871,0.9583407,15.0,13.0,14.0,,80.0,,0.066666667,-0.254794521,
2013,37051,125666.66666666667,133266.66666666666,69.31580151666667,0.9357993336666667,8.333333333333334,11.0,19.0,,151.33333333333334,,0.03030303033333333,0.2856280193333333,
2013,37055,110632.66666666667,114916.66666666667,68.357654705,0.9612713218333333,49.333333333333336,64.66666666666667,99.16666666666667,,91.75,,0.1099679905,0.0036419453333333338,
2013,37057,508475.0,174900.0,128.9178949,0.9354059415,2.0,2.0,4.0,,221.75,,0.25,2.0958985400000003,
2013,37060,167225.0,183450.0,108.03534525,0.983151829,3.0,8.0,13.5,,73.0,,0.125,-0.1358323735,
2013,37062,127450.0,147314.66666666666,79.5115379,0.9721288023333333,13.333333333333334,14.666666666666666,21.333333333333332,,385.1666666666667,,0.043859649,-0.01046486,
2013,37064,278445.0,284765.0,137.545674,0.980386933,194.16666666666666,220.5,236.5,,102.91666666666667,,0.18300824466666665,-0.0140581136,
2013,37066,134972.5,177220.0,76.234531998,0.9456880344,91.8,117.8,170.0,,81.4,,0.1157181682,-0.030493650249999997,
2013,37067,369427.5,375475.0,132.5347886,0.98427937375,123.5,126.5,97.25,,48.375,,0.23579632025,0.0035148345,
2013,37069,299190.0,377168.75,138.8903042,0.9807958268,59.0,87.0,67.6,,51.5,,0.079613234,-0.07113666660000001,
2013,37072,143778.57142857142,147935.7142857143,82.75777823857142,0.9512641055714285,71.14285714285714,88.85714285714286,142.66666666666666,,69.64285714285714,,0.08878199614285713,0.05374686499999999,
2013,37073,108500.0,175950.0,71.30544441666667,0.9469021996666666,32.333333333333336,66.5,78.0,,77.0,,0.09565217399999999,0.028985507,
2013,37074,126750.0,95833.33333333333,72.13986342,0.935722279,11.0,20.666666666666668,34.333333333333336,,146.5,,0.027777777666666666,0.026627219,
2013,37075,170625.0,185339.25,86.71412249625,0.9614033895,192.125,229.5,235.5,,73.0,,0.087177059125,0.05016066285714286,
2013,37076,156675.25,166068.33333333334,107.08621473833334,0.9863775349999999,100.5,126.33333333333333,112.0,,63.0,,0.11135879950000001,0.016831022,
2013,37082,201562.5,188912.5,102.29673779999999,0.95716254,25.75,31.75,46.25,,86.375,,0.07452731074999999,0.012203301666666666,
2013,37083,94275.0,100375.0,62.74018662,0.9174062304999999,36.0,55.5,95.5,,165.0,,0.0125,-0.0084164845,
2013,37085,172116.66666666666,203916.66666666666,98.66086547666667,0.9718218006666666,20.666666666666668,28.666666666666668,37.666666666666664,,107.66666666666667,,0.03294117633333333,0.0416728695,
2013,37086,110252.5,112575.0,74.48934055000001,0.972757218,137.0,146.5,136.5,,64.5,,0.213980676,0.018611111,
2013,37087,130083.75,183472.5,68.108242775,0.9464976485,43.5,49.75,72.75,,90.75,,0.0355029585,0.00671417375,
